Date,Close
8/1/2017,56940
8/2/2017,55750
8/3/2017,58000
8/4/2017,59000
8/7/2017,57500
8/8/2017,57150
8/9/2017,57200
8/10/2017,57200
8/11/2017,56750
8/14/2017,56770
8/15/2017,56780
8/16/2017,56788
8/17/2017,56796
8/18/2017,60296
8/21/2017,59813
8/22/2017,60000
8/23/2017,60000
8/24/2017,60000
8/25/2017,60750
8/29/2017,61250
8/30/2017,60750
8/31/2017,60750
9/1/2017,60750
9/4/2017,60750
9/5/2017,60750
9/6/2017,60850
9/7/2017,60850
9/8/2017,60850
9/11/2017,60850
9/12/2017,60650
9/13/2017,60650
9/14/2017,60650
9/15/2017,61850
9/18/2017,59850
9/19/2017,59844.5
9/20/2017,59339
9/21/2017,59340
9/22/2017,59341
9/25/2017,59342
9/26/2017,59369
9/27/2017,58864
9/28/2017,58865
9/29/2017,59094
10/2/2017,59589
10/3/2017,59651
10/4/2017,58927
10/5/2017,58952
10/6/2017,58533
10/9/2017,59290.5
10/10/2017,59292
10/11/2017,59542.5
10/12/2017,59543.5
10/13/2017,59538
10/16/2017,60039
10/17/2017,60040
10/18/2017,60286
10/19/2017,60282
10/20/2017,61028
10/23/2017,60024
10/24/2017,60520
10/25/2017,60516.5
10/26/2017,60125
10/27/2017,60550
10/30/2017,61160
10/31/2017,60500
11/1/2017,61992
11/2/2017,61370
11/3/2017,60860
11/6/2017,60860
11/7/2017,60855
11/8/2017,60040
11/9/2017,61250
11/10/2017,60750
11/13/2017,60000
11/14/2017,60000
11/15/2017,61000
11/16/2017,61000
11/17/2017,61500
11/20/2017,60750
11/21/2017,61250
11/22/2017,61000
11/23/2017,61750
11/24/2017,63250
11/27/2017,64250
11/28/2017,68800
11/29/2017,66790
11/30/2017,67280
12/1/2017,66775
12/4/2017,68776
12/5/2017,69944
12/6/2017,70099
12/7/2017,69900
12/8/2017,74500
12/11/2017,74750
12/12/2017,72750
12/13/2017,70965
12/14/2017,72205
12/15/2017,72205
12/18/2017,72205
12/19/2017,74205
12/20/2017,74705
12/21/2017,75205
12/22/2017,75205
12/27/2017,75205
12/28/2017,75205
12/29/2017,75205
1/2/2018,75205
1/3/2018,75205
1/4/2018,75170
1/5/2018,75170
1/8/2018,75160
1/9/2018,75160
1/10/2018,75098
1/11/2018,75092
1/12/2018,74947
1/15/2018,77861
1/16/2018,76860
1/17/2018,76860
1/18/2018,76869
1/19/2018,79369.5
1/22/2018,79358
1/23/2018,79362
1/24/2018,79363
1/25/2018,79372.5
1/26/2018,79623
1/29/2018,79613
1/30/2018,79867.5
1/31/2018,79872
2/1/2018,79881.5
2/2/2018,80382
2/5/2018,80379
2/6/2018,80800
2/7/2018,80799
2/8/2018,81298
2/9/2018,81292
2/12/2018,81280.5
2/13/2018,81264
2/14/2018,81013
2/15/2018,81511.5
2/16/2018,81326.5
2/19/2018,81000
2/20/2018,79253
2/21/2018,79503
2/22/2018,80854
2/23/2018,80725
2/26/2018,81390
2/27/2018,80900
2/28/2018,81000
3/1/2018,81000
3/2/2018,79250
3/5/2018,80500
3/6/2018,83020
3/7/2018,83020
3/8/2018,84020
3/9/2018,84020
3/12/2018,84020
3/13/2018,84500
3/14/2018,85500
3/15/2018,87125
3/16/2018,88375
3/19/2018,88605
3/20/2018,89608
3/21/2018,94800
3/22/2018,94300
3/23/2018,94050
3/26/2018,94050
3/27/2018,93300
3/28/2018,93300
3/29/2018,93550
4/3/2018,93050
4/4/2018,89050
4/5/2018,91050
4/6/2018,91250
4/9/2018,91250
4/10/2018,91250
4/11/2018,91250
4/12/2018,92000
4/13/2018,92000
4/16/2018,91250
4/17/2018,92000
4/18/2018,91250
4/19/2018,91250
4/20/2018,91250
4/23/2018,91250
4/24/2018,91250
4/25/2018,88500
4/26/2018,88500
4/27/2018,88500
4/30/2018,88500
5/1/2018,88500
5/2/2018,90000
5/3/2018,88500
5/4/2018,88500
5/8/2018,88500
5/9/2018,88500
5/10/2018,89000
5/11/2018,90500
5/14/2018,91000
5/15/2018,90750
5/16/2018,90750
5/17/2018,90750
5/18/2018,90750
5/21/2018,92000
5/22/2018,92500
5/23/2018,92250
5/24/2018,90750
5/25/2018,90750
5/29/2018,90500
5/30/2018,90500
5/31/2018,90000
6/1/2018,88000
6/4/2018,87750
6/5/2018,86750
6/6/2018,83750
6/7/2018,82000
6/8/2018,82750
6/11/2018,82250
6/12/2018,80750
6/13/2018,81000
6/14/2018,81250
6/15/2018,79750
6/18/2018,80000
6/19/2018,80000
6/20/2018,80250
6/21/2018,80000
6/22/2018,79150
6/25/2018,78750
6/26/2018,77250
6/27/2018,78750
6/28/2018,77250
6/29/2018,77550
7/2/2018,74750
7/3/2018,74750
7/4/2018,71750
7/5/2018,72250
7/6/2018,73000
7/9/2018,73000
7/10/2018,69750
7/11/2018,70250
7/12/2018,70250
7/13/2018,70250
7/16/2018,67750
7/17/2018,69750
7/18/2018,69750
7/19/2018,69750
7/20/2018,69750
7/23/2018,69750
7/24/2018,69750
7/25/2018,69750
7/26/2018,69750
7/27/2018,69750
7/30/2018,69750
7/31/2018,69000
8/1/2018,67000
8/2/2018,66025
8/3/2018,64284
8/6/2018,58743
8/7/2018,55151.5
8/8/2018,61500
8/9/2018,61750
8/10/2018,61650
8/13/2018,63872
8/14/2018,63864
8/15/2018,63855
8/16/2018,63847
8/17/2018,63847
8/20/2018,63814
8/21/2018,63806
8/22/2018,63806
8/23/2018,63806
8/24/2018,63806
8/28/2018,63806
8/29/2018,65056
8/30/2018,65056
8/31/2018,64306
9/3/2018,64306
9/4/2018,64306
9/5/2018,62306
9/6/2018,62306
9/7/2018,61556
9/10/2018,61556
9/11/2018,61556
9/12/2018,62806
9/13/2018,62556
9/14/2018,62556
9/17/2018,62556
9/18/2018,62561.5
9/19/2018,62567
9/20/2018,59583
9/21/2018,61839
9/24/2018,61844
9/25/2018,61849
9/26/2018,61854
9/27/2018,61869
9/28/2018,61874
10/1/2018,57880
10/2/2018,62635.5
10/3/2018,54890.5
10/4/2018,61660.5
10/5/2018,56750
10/8/2018,62492
10/9/2018,62234
10/10/2018,62225.5
10/11/2018,62217
10/12/2018,62208.5
10/15/2018,62200
10/16/2018,62192
10/17/2018,62184
10/18/2018,61176
10/19/2018,60418
10/22/2018,60410
10/23/2018,60402
10/24/2018,60394
10/25/2018,60386
10/26/2018,60377.5
10/29/2018,59619
10/30/2018,59611
10/31/2018,59853
11/1/2018,58094
11/2/2018,58085
11/5/2018,52500
11/6/2018,54505.5
11/7/2018,55000
11/8/2018,55000
11/9/2018,51000
11/12/2018,55000
11/13/2018,55000
11/14/2018,55000
11/15/2018,55000
11/16/2018,55000
11/19/2018,55000
11/20/2018,55000
11/21/2018,55000
11/22/2018,55000
11/23/2018,55000
11/26/2018,55000
11/27/2018,55000
11/28/2018,55000
11/29/2018,55000
11/30/2018,55000
12/3/2018,55000
12/4/2018,55000
12/5/2018,55000
12/6/2018,55000
12/7/2018,55000
12/10/2018,55000
12/11/2018,55000
12/12/2018,55000
12/13/2018,55000
12/14/2018,55000
12/17/2018,58000
12/18/2018,57000
12/19/2018,55000
12/20/2018,55000
12/21/2018,55000
12/24/2018,55000
12/27/2018,55000
12/28/2018,55000
12/31/2018,55000
1/2/2019,47000
1/3/2019,47000
1/4/2019,45000
1/7/2019,44000
1/8/2019,44000
1/9/2019,44000
1/10/2019,45000
1/11/2019,42000
1/14/2019,40000
1/15/2019,45000
1/16/2019,40000
1/17/2019,40000
1/18/2019,38000
1/21/2019,38000
1/22/2019,38000
1/23/2019,38000
1/24/2019,38000
1/25/2019,38000
1/28/2019,38000
1/29/2019,36500
1/30/2019,36000
1/31/2019,34000
